PRE-HISTORIC KLIS CATEGORY,Grandparent V#,HISTORIC KLIS CATEGORY,Parent V#,KLIS item name,V#,A#,ALM item name,Parent A#,HISTORIC ALM CATEGORY,Material Composition,EPA DIVISION,Smoking related,CDS,PBs,Refine Classification,Takeaway related,Snacks related,Plastic Plan related
,,,,PL Other Food Package Items,65,32,PL Other Food Package Items,,,Plastics,Takeaway,,Non,,Plastic Refined,Takeaway,,
,,,,PL Bread Bag Tags,71,15,PL Bread Bag Tags,,,Plastics,Miscellaneous Plastic ,,Non,,Plastic Refined,,,Future
PL Lids & Bottle tops,66,PL Beverage Container Lids,255,PL Beverage Container Lids,255,25,PL Beverage Container Lids,,,Plastics,Takeaway,,Beverage Lid,,Plastic Refined,Takeaway,,
,,PL Plastic Cup Lids,256,PL Plastic Cup Lids,256,26,PL Plastic Cup Lids,,,Plastics,Takeaway,,Beverage Lid,,Plastic Refined,Takeaway,,
,,PL Coffee Cup Lids (no cup),257,PL Coffee Cup Lids (no cup),257,27,PL Coffee Cup Lids (no cup),,,Plastics,Takeaway,,Beverage Lid,,Plastic Refined,Takeaway,,
,,PL Other Plastic Lids,258,PL Other Plastic Lids,258,28,PL Other Plastic Lids,,,Plastics,Miscellaneous Plastic ,,Non,,Plastic Refined,,,
,,,,PL SU Vape Silicon Lids ,280,255,PL SU Vape Silicon Lids ,,,Plastics,"Smoking, vaping and packaging",Vape related,Non,,Plastic Refined,,,
,,,NEW @ S?,PL Non-Food Packaging Items,292,31,PL Non-Food Packaging Items,,,Plastics,Miscellaneous Plastic ,,Non,,Plastic Refined,,,
,,,,PL Rope & Net Scrap < 1m,89,23701,PL All Rope & String (count of pieces),237,OT Rope & String,Plastics,Miscellaneous Plastic ,,Non,,Plastic Refined,,,
,,,,PL Rope (count of pieces >1m),250,,,,,Plastics,Miscellaneous Plastic ,,Non,,Plastic Refined,,,
,,,,PL Handles/Reels,72,2301,PL Handles/Reels,23,PL Fishing,Plastics,Fishing,,Non,,Plastic Refined,,,
,,,,PL Bait Bags,75,2302,PL Bait Bags,,,Plastics,Fishing,,Non,,Plastic Refined,,,
,,,,PL Tackle Packaging,76,2303,PL Tackle Packaging,,,Plastics,Fishing,,Non,,Plastic Refined,,,
